,dependents,education,self_employed,loan_amount_term,credit_history,property_area,loan_status,total_income_log,loan_amount_log
75,0,0,0,480.0,1.0,2,0,8.229511118964457,4.727387818712341
76,0,0,0,360.0,1.0,2,0,9.047821442478408,5.170483995038151
77,1,0,1,360.0,1.0,2,0,8.299534570332597,4.700480365792417
78,4,0,0,300.0,0.0,1,0,8.877242435993919,5.19295685089021
79,4,1,1,360.0,1.0,1,1,8.612321536507814,4.867534450455582
80,0,0,0,360.0,1.0,1,1,8.254788926148725,4.709530201312334
81,1,0,1,360.0,1.0,1,1,7.781138509845015,4.852030263919617
82,2,0,0,360.0,1.0,2,0,8.089175678837561,5.117993812416755
83,0,0,0,360.0,1.0,1,0,9.017968479328726,5.566434283504978
84,1,0,0,240.0,1.0,2,1,8.291045131081729,3.912023005428146
85,0,0,0,360.0,1.0,1,1,8.496378051702317,4.912654885736052
86,2,1,0,360.0,1.0,1,1,8.581669210600602,4.59511985013459
87,0,0,0,360.0,1.0,1,1,8.43771698991444,4.6443908991413725
88,0,0,0,360.0,1.0,2,1,9.055556158175316,5.3471075307174685
89,0,0,0,360.0,1.0,1,1,9.196444266784072,5.1647859739235145
90,0,0,0,360.0,1.0,1,1,8.675563527387679,4.875197323201151
91,2,0,0,180.0,1.0,1,1,9.384629757072872,5.236441962829949
92,2,1,0,360.0,1.0,2,1,8.535622326884605,4.394449154672439
93,0,0,0,360.0,1.0,1,1,8.326758814511733,4.804021044733257
94,0,1,0,120.0,1.0,1,1,8.194229304819817,3.2188758248682006
95,0,0,0,360.0,1.0,2,0,8.822027322685583,4.852030263919617
96,0,0,0,360.0,1.0,1,1,8.47345026846832,4.919980925828125
97,0,0,0,360.0,1.0,1,1,7.9976631270201,3.912023005428146
98,0,1,0,180.0,1.0,1,1,8.339978571990427,4.74493212836325
99,0,0,0,360.0,1.0,1,1,8.575462099540212,4.875197323201151
100,2,1,0,180.0,1.0,2,1,8.929435283803425,4.890349128221754
101,0,0,0,360.0,1.0,1,1,9.065198986306513,5.017279836814924
102,0,0,0,360.0,1.0,2,1,9.227320392010867,4.852030263919617
103,0,0,0,360.0,1.0,1,1,9.016148642611741,4.852030263919617
104,0,0,0,360.0,1.0,2,1,8.42726848388825,5.075173815233827
105,1,0,0,360.0,1.0,2,1,8.31434234336979,4.605170185988092
106,2,0,0,360.0,1.0,2,1,9.332314612251034,5.41610040220442
107,0,1,0,360.0,1.0,0,0,8.9001399880938,4.787491742782046
108,2,0,0,360.0,0.0,2,0,8.909235279192261,5.375278407684165
109,4,1,0,480.0,1.0,1,1,7.946263643580541,4.543294782270004
110,0,0,0,360.0,1.0,2,1,8.578476419833136,4.912654885736052
111,0,0,0,360.0,1.0,1,1,8.568266461600238,4.9344739331306915
112,0,1,0,360.0,0.0,0,0,8.94715577112479,5.0238805208462765
113,1,0,1,360.0,1.0,1,1,8.916103530553727,4.852030263919617
114,0,0,0,360.0,1.0,1,1,8.527143522269405,4.770684624465665
115,1,0,0,180.0,1.0,0,1,9.227320392010867,5.220355825078324
116,0,0,0,360.0,1.0,1,1,8.60337088765729,5.0369526024136295
117,1,0,0,360.0,1.0,2,1,8.192016914536875,4.442651256490317
118,0,0,0,360.0,1.0,0,0,8.950273466557375,5.1647859739235145
119,0,0,0,360.0,1.0,2,1,9.227320392010867,5.556828061699537
120,0,0,0,360.0,1.0,0,1,9.0280988119824,5.19295685089021
121,0,0,0,360.0,1.0,1,1,8.334711621820917,3.784189633918261
122,0,0,0,360.0,0.0,1,1,8.972099045670273,4.919980925828125
123,2,0,0,360.0,1.0,1,1,7.9919305198524775,4.394449154672439
124,0,1,0,360.0,1.0,0,1,8.750524669117937,5.267858159063328
125,0,0,0,360.0,1.0,0,1,8.213923595622743,4.532599493153256
126,4,0,0,360.0,1.0,0,1,9.227320392010867,5.566434283504978
127,0,0,0,360.0,1.0,0,1,8.61341204915678,4.852030263919617
128,1,0,1,180.0,0.0,2,0,9.548329314959433,5.075173815233827
129,0,0,0,360.0,1.0,0,0,9.065198986306513,5.204006687076795
130,0,0,1,480.0,1.0,2,1,9.227320392010867,5.566434283504978
131,0,0,0,360.0,1.0,2,1,8.279697133877628,4.30406509320417
132,0,0,0,360.0,1.0,1,1,7.907651594711089,4.248495242049359
133,0,0,1,120.0,1.0,1,1,8.148734808937169,3.2188758248682006
134,0,0,0,360.0,1.0,1,1,8.49596955496461,4.624972813284271
135,4,0,0,360.0,1.0,1,0,9.184317187066945,5.566434283504978
136,0,0,0,360.0,1.0,0,0,8.430109084509125,4.430816798843313
137,2,0,1,360.0,1.0,2,1,8.827028068509152,4.477336814478207
138,0,0,0,360.0,0.0,1,0,9.227320392010867,5.488937726156687
139,2,1,0,360.0,1.0,0,0,8.635864721133736,4.859812404361672
140,2,0,0,360.0,1.0,0,0,8.871365005136852,5.220355825078324
141,0,0,0,360.0,1.0,2,1,8.597297435657898,5.123963979403259
142,0,0,1,180.0,1.0,1,1,8.846496938558838,5.1647859739235145
143,0,0,0,360.0,1.0,1,1,8.462103225098277,4.804021044733257
144,2,0,0,180.0,1.0,2,1,9.227320392010867,5.231108616854587
145,0,0,0,360.0,1.0,1,1,8.827028068509152,4.605170185988092
146,2,0,0,360.0,1.0,2,1,9.227320392010867,4.248495242049359
147,1,0,0,360.0,1.0,2,1,7.993957547573565,3.4011973816621555
148,0,0,0,360.0,1.0,0,0,9.364433907313582,5.41610040220442
149,0,0,0,360.0,1.0,1,1,8.646465527120377,4.8283137373023015
150,0,0,0,360.0,0.0,0,0,8.744647438317532,4.770684624465665
151,0,0,1,360.0,1.0,0,1,8.752581469146884,5.0238805208462765
152,0,0,0,360.0,1.0,2,0,9.123256265069069,5.497168225293202
153,2,1,0,360.0,1.0,0,0,7.732369222284388,4.727387818712341
154,0,0,0,360.0,1.0,2,1,8.087640287778983,3.912023005428146
155,4,0,0,180.0,0.0,1,1,9.227320392010867,5.566434283504978
156,1,0,0,360.0,1.0,0,1,8.699514748210191,5.075173815233827
157,1,0,0,360.0,1.0,2,1,9.16303909885817,5.231108616854587
158,0,0,0,360.0,1.0,0,1,8.529714471969909,4.787491742782046
159,0,0,0,360.0,1.0,1,1,9.23092700558457,5.541263545158426
160,0,1,0,360.0,1.0,1,1,7.973844375944687,4.584967478670572
161,0,0,0,360.0,1.0,2,0,8.978786553302003,5.566434283504978
162,1,0,0,360.0,0.0,1,0,8.382289428951436,4.795790545596741
163,2,0,0,360.0,1.0,0,1,8.633018756921828,5.062595033026967
164,0,0,0,180.0,1.0,2,1,9.140239744296693,4.31748811353631
165,0,0,0,360.0,1.0,0,1,8.835355971121606,5.204006687076795
166,0,0,0,360.0,1.0,0,0,8.430109084509125,4.718498871295094
167,0,0,0,360.0,1.0,0,1,8.660773919893762,4.859812404361672
168,0,0,0,480.0,0.0,1,0,7.71289096149013,4.143134726391533
169,2,0,0,360.0,1.0,1,1,8.987196820661973,5.298317366548036
170,0,1,0,360.0,1.0,0,1,8.185628891147607,4.553876891600541
171,4,0,0,300.0,1.0,2,1,9.227320392010867,5.566434283504978
172,4,1,0,180.0,1.0,0,0,8.166784289056151,4.394449154672439
173,0,0,0,360.0,1.0,1,1,9.335474102732949,5.231108616854587
174,0,1,1,360.0,1.0,1,0,8.533066540572527,4.465908118654584
175,0,0,0,360.0,1.0,0,1,8.605387202152153,4.7535901911063645
176,2,0,0,360.0,1.0,0,1,8.20631072579402,4.61512051684126
177,4,0,0,360.0,0.0,1,0,9.328934189970829,5.566434283504978
178,1,0,0,360.0,1.0,1,1,8.229511118964457,4.7535901911063645
179,0,1,0,480.0,0.0,2,0,8.238536930171769,4.624972813284271
180,1,0,0,360.0,0.0,2,0,9.404518444997377,5.19295685089021
181,0,0,0,360.0,1.0,0,0,8.850660919017152,4.204692619390966
182,0,0,0,180.0,1.0,1,1,8.433811582477187,4.290459441148391
183,1,0,0,360.0,1.0,1,0,9.227320392010867,5.560681631015528
184,0,0,0,360.0,1.0,1,1,8.195609567288775,4.68213122712422
185,0,0,1,360.0,1.0,1,1,9.610541650409248,4.787491742782046
186,1,0,1,300.0,0.0,0,0,7.686162303492906,4.189654742026425
187,0,0,0,360.0,1.0,0,1,8.416488487294606,4.060443010546419
188,0,0,1,360.0,1.0,0,1,8.694502206386648,5.123963979403259
189,0,0,0,180.0,1.0,0,1,9.140775908590273,5.236441962829949
190,0,1,0,360.0,1.0,0,1,8.493924564476883,3.871201010907891
191,0,0,0,360.0,1.0,1,0,9.227320392010867,5.099866427824199
192,0,1,0,360.0,1.0,2,0,8.704999678440762,5.075173815233827
193,0,0,0,360.0,1.0,1,1,8.257904193465674,4.330733340286331
194,0,0,0,360.0,1.0,0,1,8.340694647925071,4.787491742782046
195,1,0,0,360.0,1.0,1,0,8.649623978596727,5.135798437050262
196,0,0,0,360.0,1.0,0,1,9.399554785027307,5.231108616854587
197,0,1,0,360.0,1.0,2,1,8.35983738064003,4.787491742782046
198,0,0,0,360.0,1.0,1,1,8.737452587550584,4.727387818712341
199,0,0,1,360.0,1.0,2,0,9.227320392010867,4.418840607796598
200,1,1,0,360.0,1.0,1,1,8.536995818712418,4.499809670330265
201,2,0,0,360.0,0.0,1,1,8.5016733797582,5.111987788356544
202,4,1,0,180.0,1.0,2,0,8.292047637431354,4.852030263919617
203,1,1,0,360.0,1.0,2,1,8.430109084509125,4.90527477843843
204,2,1,0,360.0,1.0,1,1,8.27308133366583,4.820281565605037
205,0,1,0,360.0,1.0,1,1,8.391176350832751,4.787491742782046
206,0,0,0,360.0,1.0,2,1,8.084562415235304,4.382026634673881
207,0,1,0,360.0,1.0,0,1,8.780480107033297,4.007333185232471
208,0,0,0,360.0,1.0,2,1,7.8156105320351905,4.07753744390572
209,0,0,0,360.0,1.0,1,0,8.136810863675537,4.844187086458591
210,0,0,0,360.0,1.0,1,0,9.210340371976184,5.365976015021851
211,4,0,0,360.0,0.0,1,0,8.451053388911692,4.852030263919617
212,1,0,1,360.0,1.0,2,1,8.960210955576986,5.480638923341991
213,4,1,1,360.0,1.0,0,1,8.648747631156539,4.867534450455582
214,0,0,0,360.0,1.0,2,1,8.731336360533149,4.919980925828125
215,4,1,0,360.0,1.0,1,1,8.483222671845084,4.605170185988092
216,0,0,0,360.0,1.0,0,0,7.575584651557793,4.90527477843843
217,0,0,0,360.0,1.0,1,1,8.61286694148452,4.875197323201151
218,2,0,0,360.0,0.0,1,0,8.517193191416238,4.276666119016055
219,2,0,0,360.0,1.0,1,1,8.804775258867686,4.844187086458591
220,0,0,0,360.0,0.0,2,0,7.7057128238944275,4.0943445622221
221,2,0,0,360.0,1.0,1,1,8.65277248565806,4.7535901911063645
222,0,0,0,360.0,1.0,1,1,8.659039915644474,4.969813299576001
223,0,0,0,360.0,1.0,1,1,9.058121158998672,5.1647859739235145
224,0,0,0,360.0,1.0,1,1,8.740336742730447,4.852030263919617
225,0,0,0,360.0,1.0,0,0,8.086410275323782,5.135798437050262
226,0,1,1,360.0,1.0,2,0,8.462737005620179,4.927253685157205
227,2,0,0,360.0,1.0,1,1,8.980298078970817,5.3471075307174685
228,0,0,0,480.0,1.0,1,1,8.467582690862903,5.062595033026967
229,0,0,1,360.0,1.0,0,1,8.764053269347762,5.298317366548036
230,1,0,0,360.0,1.0,1,1,8.421783006611578,4.6443908991413725
231,0,0,0,180.0,1.0,0,1,8.22040309993373,3.7376696182833684
232,0,1,0,360.0,1.0,0,1,8.663369301573839,4.787491742782046
233,0,0,0,360.0,1.0,1,1,9.027978814382207,5.566434283504978
234,1,0,0,360.0,1.0,1,1,8.503905297089302,4.941642422609304
235,1,0,0,360.0,1.0,0,1,8.81877816903701,5.135798437050262
236,0,0,0,360.0,1.0,2,0,8.656259239539235,5.541263545158426
237,0,0,1,360.0,1.0,2,1,8.149890544402423,4.804021044733257
238,1,0,0,360.0,1.0,0,1,8.245909264774093,4.718498871295094
239,1,0,0,360.0,1.0,1,1,8.106212902619962,4.564348191467836
240,2,0,0,360.0,1.0,0,1,9.289059126687574,4.787491742782046
241,1,1,0,180.0,1.0,2,0,8.41027590907016,4.941642422609304
242,0,0,0,60.0,1.0,2,1,9.067162602299854,5.043425116919247
243,2,0,1,360.0,1.0,0,1,8.92930284224307,4.68213122712422
244,0,1,0,360.0,1.0,1,1,8.96482339168508,4.812184355372417
245,0,0,1,180.0,1.0,2,0,9.247925132303454,4.787491742782046
246,2,0,0,360.0,1.0,2,1,9.1801903950253,4.718498871295094
247,1,1,0,180.0,1.0,2,1,8.796036315200814,4.919980925828125
248,1,0,0,480.0,1.0,1,1,8.460622839927844,4.812184355372417
249,0,0,0,360.0,1.0,2,1,8.209852481301272,4.499809670330265
250,0,1,0,360.0,0.0,1,0,8.62299361030245,5.303304908059076
251,2,0,0,360.0,1.0,2,0,8.139440521874608,4.927253685157205
252,0,1,1,360.0,1.0,0,1,8.465899897028686,4.6443908991413725
253,1,1,0,180.0,1.0,1,1,9.036477935723862,5.566434283504978
254,0,0,1,360.0,0.0,2,0,9.227320392010867,5.2574953720277815
255,4,0,0,360.0,1.0,0,1,8.03365842788615,5.541263545158426
256,0,1,0,360.0,0.0,0,0,8.706986763048892,4.74493212836325
257,4,0,0,360.0,1.0,2,0,8.565983355585669,4.543294782270004
258,0,0,0,360.0,1.0,0,0,9.415014407006732,5.566434283504978
259,4,1,0,360.0,1.0,1,0,8.503297086224126,4.852030263919617
260,1,0,0,360.0,1.0,2,1,9.243097936214355,5.566434283504978
261,0,0,0,360.0,1.0,1,1,8.359134886757962,4.897839799950911
262,1,0,0,36.0,1.0,1,0,8.15507488781144,5.043425116919247
263,0,0,0,360.0,1.0,0,1,8.881836305004146,4.787491742782046
264,0,0,1,360.0,1.0,1,1,8.549853973655786,4.852030263919617
265,0,0,0,360.0,1.0,0,1,8.928242677818302,5.017279836814924
266,2,0,0,360.0,1.0,1,1,8.715224041915372,5.0106352940962555
267,4,0,0,360.0,0.0,2,1,8.723231274827508,5.075173815233827
268,0,0,0,360.0,1.0,0,0,8.136810863675537,4.90527477843843
269,1,0,0,360.0,1.0,2,1,8.397508348470257,4.499809670330265
270,0,0,0,360.0,1.0,2,1,8.082402253926244,3.4011973816621555
271,0,0,0,360.0,1.0,2,1,9.227320392010867,4.912654885736052
272,0,0,0,360.0,1.0,0,1,8.453187861440325,4.836281906951478
273,0,0,0,360.0,1.0,1,1,8.48528964240323,5.0106352940962555
274,2,0,0,360.0,1.0,1,1,8.268731832117737,4.499809670330265
275,1,0,0,360.0,1.0,1,1,8.432070937999402,4.74493212836325
276,0,0,0,360.0,1.0,1,1,8.891098830616636,5.332718793265369
277,0,0,0,360.0,1.0,2,1,8.390041405755754,4.382026634673881
278,0,0,0,360.0,1.0,1,1,9.227320392010867,5.566434283504978
279,0,1,0,360.0,1.0,0,1,8.318742252692399,4.820281565605037
280,1,1,1,360.0,0.0,2,0,8.776321456449958,5.062595033026967
281,0,0,0,360.0,1.0,1,1,8.461046030793236,4.718498871295094
282,2,0,0,180.0,1.0,2,1,8.097669722345216,4.356708826689592
283,0,0,0,360.0,1.0,2,1,8.153925132007862,3.9889840465642745
284,0,0,0,360.0,1.0,0,0,9.227320392010867,4.852030263919617
285,0,0,0,360.0,1.0,0,1,8.734077192559303,4.48863636973214
286,0,0,1,300.0,1.0,1,0,8.370315995555478,4.59511985013459
287,0,0,0,360.0,1.0,0,1,8.648922962094131,4.787491742782046
288,0,0,0,360.0,1.0,1,1,8.32457884513685,4.74493212836325
289,0,0,0,360.0,1.0,0,1,9.159888828480085,5.231108616854587
290,0,0,0,360.0,1.0,0,1,8.610865667278873,4.9344739331306915
291,2,0,0,360.0,0.0,1,0,8.389359819906353,4.844187086458591
292,2,0,0,360.0,1.0,2,1,8.45807992692373,4.897839799950911
293,0,0,0,480.0,0.0,2,0,8.597297435657898,4.962844630259907
294,0,0,0,360.0,1.0,1,1,8.651199471263972,5.147494476813453
295,4,0,0,360.0,1.0,2,1,8.642238680390461,4.700480365792417
296,1,0,0,360.0,1.0,1,1,8.835646922534773,5.298317366548036
297,1,0,0,360.0,1.0,2,1,8.448057452581375,4.90527477843843
298,0,0,0,480.0,1.0,0,0,8.928110078202646,5.017279836814924
299,1,0,0,360.0,1.0,2,0,8.504918160540624,4.727387818712341
300,0,1,0,360.0,0.0,2,0,8.46252579007393,4.532599493153256
301,0,1,0,360.0,1.0,1,1,8.439231649946526,4.653960350157523
302,0,0,0,360.0,1.0,0,1,8.517193191416238,4.882801922586371
303,1,0,0,360.0,1.0,2,1,8.13973227971767,4.564348191467836
304,0,0,0,360.0,1.0,0,1,8.779557455883728,4.941642422609304
305,0,1,0,360.0,1.0,2,0,7.600902459542082,4.852030263919617
306,0,0,0,360.0,1.0,0,1,8.59932602095476,4.90527477843843
307,0,0,0,360.0,0.0,2,0,8.35772841676521,4.6443908991413725
308,0,0,0,360.0,1.0,0,0,9.227320392010867,5.566434283504978
309,2,1,0,360.0,1.0,0,1,8.944680683558895,5.220355825078324
310,0,0,0,360.0,1.0,1,1,7.978310969867722,4.430816798843313
311,0,1,0,360.0,1.0,1,1,8.5814816812986,4.709530201312334
312,0,0,0,360.0,1.0,0,1,7.826842098158293,4.02535169073515
313,2,0,1,84.0,1.0,0,1,8.656259239539235,4.969813299576001
314,0,0,0,360.0,1.0,0,0,8.370084326378025,5.0689042022202315
315,1,1,0,180.0,1.0,2,1,8.524962928680598,4.709530201312334
316,2,0,0,360.0,1.0,1,1,8.220672170297252,4.787491742782046
317,0,0,0,360.0,1.0,2,1,8.340933226000878,4.477336814478207
318,1,0,0,360.0,1.0,1,1,8.172164452111904,4.718498871295094
319,1,0,1,360.0,1.0,0,0,9.210340371976184,5.043425116919247
320,0,0,0,360.0,1.0,1,1,8.426611813185,4.74493212836325
321,4,0,0,360.0,1.0,1,1,8.418697944667139,4.820281565605037
322,2,1,0,360.0,1.0,0,1,8.55468163582723,4.852030263919617
323,0,0,0,360.0,1.0,0,1,8.724369949208368,4.882801922586371
324,4,0,0,360.0,1.0,0,1,9.227320392010867,5.566434283504978
325,1,0,1,360.0,0.0,0,0,9.521421537856195,5.566434283504978
326,0,0,0,360.0,0.0,0,1,8.50045386741194,4.867534450455582
327,0,0,1,360.0,1.0,1,1,8.984443032465352,5.214935757608986
328,0,0,0,360.0,1.0,2,0,8.822322177471738,4.700480365792417
329,0,0,0,360.0,1.0,2,1,7.824046010856292,4.204692619390966
330,1,0,0,360.0,1.0,2,1,8.728587995695898,4.762173934797756
331,0,0,0,360.0,1.0,1,1,7.984462732262196,4.584967478670572
332,0,0,0,360.0,1.0,2,1,7.949091499830517,4.2626798770413155
333,0,0,0,180.0,1.0,2,1,9.227320392010867,5.566434283504978
334,1,0,1,180.0,1.0,2,1,9.364433907313582,5.204006687076795
335,0,0,1,360.0,1.0,1,1,9.209640126861789,4.248495242049359
336,1,0,0,360.0,1.0,0,1,8.689127655323706,5.075173815233827
337,2,0,1,360.0,1.0,0,1,8.867850063029406,5.170483995038151
338,4,1,0,360.0,0.0,2,0,7.512071245835466,4.852030263919617
339,0,0,0,360.0,1.0,1,1,8.333270353255308,4.2626798770413155
340,4,1,0,360.0,1.0,0,0,8.350902451694811,5.153291594497779
341,0,0,0,360.0,1.0,0,0,7.774015077250727,3.828641396489095
342,1,1,0,360.0,1.0,2,1,8.662677858158219,5.062595033026967
343,4,1,0,360.0,1.0,1,1,8.062432791583195,4.30406509320417
344,2,0,0,360.0,1.0,0,1,8.499640032168648,4.8283137373023015
345,0,0,0,360.0,1.0,1,1,8.508555998020574,5.075173815233827
346,0,1,0,360.0,0.0,0,0,8.817742129574842,5.0238805208462765
347,2,1,0,360.0,1.0,2,1,8.566173813637858,4.836281906951478
348,0,0,0,360.0,1.0,1,1,9.29798488182823,5.556828061699537
349,0,0,0,360.0,1.0,0,1,9.032185124051644,5.231108616854587
350,0,0,0,360.0,1.0,1,1,9.114159813502214,5.429345628954441
351,0,0,0,360.0,1.0,0,0,9.466299552232016,5.566434283504978
352,4,0,0,360.0,1.0,0,1,8.465689348549121,4.553876891600541
353,0,0,1,360.0,0.0,0,0,8.612503371220562,4.653960350157523
354,0,0,0,360.0,1.0,1,1,7.982074875081202,4.867534450455582
355,0,0,0,180.0,1.0,2,1,8.246171559857563,4.7535901911063645
356,2,0,0,360.0,1.0,0,1,9.350102314351341,5.10594547390058
357,1,0,0,360.0,1.0,2,0,8.262300941787448,4.204692619390966
358,0,1,0,480.0,0.0,2,0,8.448057452581375,4.605170185988092
359,4,0,0,360.0,1.0,1,1,9.0280988119824,5.298317366548036
360,1,0,0,360.0,1.0,1,0,8.460199469896118,4.394449154672439
361,2,0,0,360.0,1.0,1,1,9.067277989134345,5.4638318050256105
362,0,0,0,360.0,1.0,2,1,8.865452825753623,4.867534450455582
363,0,0,0,300.0,1.0,2,1,8.707152175339404,4.553876891600541
364,0,0,1,360.0,1.0,0,1,8.82790796297859,4.948759890378168
365,0,1,0,360.0,1.0,0,0,8.734881892047483,4.890349128221754
366,0,0,0,480.0,1.0,1,0,7.824046010856292,4.564348191467836
367,0,0,0,360.0,0.0,0,0,8.541690663016626,4.820281565605037
368,1,0,0,360.0,1.0,1,1,8.752265313595721,5.1647859739235145
369,0,0,0,360.0,1.0,0,0,9.644538698907219,5.566434283504978
370,0,0,1,360.0,1.0,1,1,9.227320392010867,4.007333185232471
371,2,0,0,360.0,1.0,1,1,8.553525120663627,5.043425116919247
372,2,0,1,300.0,1.0,0,1,9.620204125178514,5.566434283504978
373,1,0,0,180.0,0.0,2,0,8.526945482858915,4.709530201312334
374,0,0,0,360.0,1.0,2,1,8.348301054933943,4.700480365792417
375,0,0,0,180.0,1.0,2,1,8.655214489313613,4.787491742782046
376,4,0,0,360.0,1.0,0,1,9.52850315168155,4.867534450455582
377,0,0,0,360.0,1.0,1,1,8.368693183097793,4.867534450455582
378,0,0,0,480.0,1.0,2,0,8.029107054619736,4.2626798770413155
379,2,0,0,360.0,1.0,2,1,8.592486175451668,4.867534450455582
380,0,0,0,360.0,1.0,1,1,8.671286726753637,4.852030263919617
381,0,0,0,360.0,1.0,1,1,9.227492430793749,5.566434283504978
382,0,0,0,360.0,1.0,2,1,8.699514748210191,5.049856007249537
383,0,0,1,360.0,1.0,2,1,8.877242435993919,4.852030263919617
